name,url,highest_grade,count_8c_plus,avg_grade_first5
Antoine Girard,https://www.8a.nu/user/antoine-girard,8a,0,17.67
Yuval Shemla,https://www.8a.nu/user/yuval-shamla,8a+,0,19.5
Alex Khazanov,https://www.8a.nu/user/alex-khazanov,9a,6,22.77
Pietro Vidi,https://www.8a.nu/user/pietro-vidi-tz236,9a,9,22.26
Rodrigo Iasi Hanada,https://www.8a.nu/user/rodrigo-iasi-hanada-955g3,8c,0,19.27
Hugo Hoyer,https://www.8a.nu/user/hugo-hoyer,8a+,0,18.5
Max Thomas,https://www.8a.nu/user/max-thomas,7c,0,14.1
Raffael Gruber,https://www.8a.nu/user/raffael-gruber,8a,0,19.0
Marcello Bombardi,https://www.8a.nu/user/marcello-bombardi,9a+,27,23.05
Giorgio Tomatis,https://www.8a.nu/user/giorgio-tomatis,9b,20,23.12
Lucas Trandafir,https://www.8a.nu/user/lucas-trandafir,8c,0,20.33
Zach Galla,https://www.8a.nu/user/zach-galla,8b,0,19.13
James Pope,https://www.8a.nu/user/james-pope,7b+,0,12.83
Timo Uznik,https://www.8a.nu/user/timo-uznik,8c,0,20.46
Ilja Auersperg,https://www.8a.nu/user/ilja-auersperg,8c,0,19.77
Christopher Cosser,https://www.8a.nu/user/christopher-cosser,8c,0,23.0
Peter Kuric,https://www.8a.nu/user/peter-kuric,9a,3,21.5
Pietro Biagini,https://www.8a.nu/user/pietro-biagini,8c+,2,21.11
Jonas Körner,https://www.8a.nu/user/jonas-kornerup-jensen,6b,0,9.0
Hossein Familrohani,https://www.8a.nu/user/hossein-familrohani,8a,0,16.67
Christian Wagner,https://www.8a.nu/user/christian-wagner,7b+,0,13.58
Auswin Aueareechit,https://www.8a.nu/user/auswin-aueareechit,8c,0,23.0
Lukas Mokrolusky,https://www.8a.nu/user/lukas-mokrolusky,8c,0,20.33
Nathan Sato,https://www.8a.nu/user/nathan-sato,8c,0,20.32
Vin Sukapanpotharam,https://www.8a.nu/user/vin-sukapanpotharam,8b+,0,18.8
Felipe Ho Foganholo,https://www.8a.nu/user/felipe-ho-foganholo,9a,4,22.19
Victor Baudrand,https://www.8a.nu/user/victor-baudrand,8c+,2,21.64
Julian Wimmer,https://www.8a.nu/user/julian-wimmer,8b,0,18.22
Tim Würthner,https://www.8a.nu/user/tim-wuerthner,8b+,0,20.0
Jan Stipek,https://www.8a.nu/user/jan-stipek-x5igt,9a,2,21.82
William Flores,https://www.8a.nu/user/william-flores,8b+,0,18.8
Rolands Rugens,https://www.8a.nu/user/rolands-rugens,8a+,0,15.5
Suraj Singh,https://www.8a.nu/user/suraj-singh,8b,0,15.88
Filip Matejička,https://www.8a.nu/user/filip-matejicka,8c,0,20.41
Max Bertone,https://www.8a.nu/user/max-bertone,9a,5,22.23
Nino Grünenfelder,https://www.8a.nu/user/nino-gruenenfelder-69185,9a,3,22.67
Philipp Martin,https://www.8a.nu/user/philippe-martin-6a967,5b,0,3.0
Christoph Hanke,https://www.8a.nu/user/christoph-anxmy,8a+,0,17.32
Jules Marchaland,https://www.8a.nu/user/jules-marchaland,9a+,31,23.36
Jordi Poles,https://www.8a.nu/user/jordi-poles-1k13b,8c,0,20.21
Ross Fulkerson,https://www.8a.nu/user/ross-fulkerson,8c,0,20.9
Dimitri Flick,https://www.8a.nu/user/dimitri-flick,9a+,11,22.93
Nao Monchois,https://www.8a.nu/user/nao-monchois-rfa29,9a+,12,22.93
Davide Marco Colombo,https://www.8a.nu/user/davide-marco-colombo,8c+,1,21.29
Lovro Crep,https://www.8a.nu/user/lovro-crep,8c+,2,21.42
Milan Preskar,https://www.8a.nu/user/milan-preskar,8c,0,20.12
Rhys Conlon,https://www.8a.nu/user/rhys-conlon,8c,0,19.95
Johannes Hofherr,https://www.8a.nu/user/johannes-hofherr,9a,7,22.08
Maël Grenier,https://www.8a.nu/user/mael-grenier,8c+,1,21.67
Elliot Eriksson,https://www.8a.nu/user/elliot-eriksson,8a+,0,17.5
Mel Janse Van Rensburg,https://www.8a.nu/user/mel-janse-van-rensburg,9a,3,22.0
Hugo Parmentier,https://www.8a.nu/user/hugo-parmentier,9b,21,24.14
Stanley Au,https://www.8a.nu/user/stanley-hunter,8a,0,16.88
Ege Duman,https://www.8a.nu/user/ege-duman-po43o,8b+,0,19.0
Mark Brand,https://www.8a.nu/user/mark-brand-34055,9a,1,21.02
Eliáš Kysela,https://www.8a.nu/user/elias-kysela,9a,8,22.83
Illia Bakhmet-smolenskyi,https://www.8a.nu/user/illya-bakhmet-smolenskyi,9a,17,22.46
Brooke Raboutou,https://www.8a.nu/user/brooke-raboutou,8c,0,20.33
Camilla Moroni,https://www.8a.nu/user/camilla-moroni,8b+,0,19.22
Oriane Bertone,https://www.8a.nu/user/oriane-bertone-5nw5o,8c+,2,21.31
Agathe Calliet,https://www.8a.nu/user/agathe-calliet,8a+,0,18.73
Jessica Pilz,https://www.8a.nu/user/jessica-pilz,9a+,7,22.12
Lucia Dörffel,https://www.8a.nu/user/lucia-doerffel,8c,0,21.17
Fanny Gibert,https://www.8a.nu/user/fanny-gibert,8b,0,18.89
Chloe Caulier,https://www.8a.nu/user/chloe-caulier,8a+,0,18.0
Lucija Tarkus,https://www.8a.nu/user/lucija-tarkus,8c+,1,21.08
Ai Mori,https://www.8a.nu/user/ai-mori,8a,0,19.0
Laura Rogora,https://www.8a.nu/user/laura-rogora-26514,9a,6,22.29
Stasa Gejo,https://www.8a.nu/user/stasa-gejo,8c,0,19.94
Afra Hönig,https://www.8a.nu/user/afra-hoenig,7c+,0,15.42
Mia Krampl,https://www.8a.nu/user/mia-krampl,8c,0,20.46
Franziska Sterrer,https://www.8a.nu/user/ziska-su,7b,0,12.15
Giorgia Tesio,https://www.8a.nu/user/giorgia-tesio-f,8b+,0,19.0
Kylie Cullen,https://www.8a.nu/user/kylie-cullen,8b+,0,18.73
Molly Thompson-smith,https://www.8a.nu/user/molly-thompson-smith,8a+,0,17.5
Andrea Kümin,https://www.8a.nu/user/andrea-kuemin,8c,0,20.17
Manon Hily,https://www.8a.nu/user/manon-hily,8c+,5,21.26
Michaela Smetanova,https://www.8a.nu/user/michaela-smetanova,8a+,0,17.38
Vita Lukan,https://www.8a.nu/user/vita-lukan,8c+,2,21.57
Alannah Yip,https://www.8a.nu/user/alannah-yip,7c+,0,16.0
Ingrid Kindlihagen,https://www.8a.nu/user/ingrid-kindlihagen-71248,8b,0,18.27
Julija Kruder,https://www.8a.nu/user/julija-kruder,8a,0,16.3
Noa Shiran,https://www.8a.nu/user/noa-shiran,8c,0,23.0
Sol Sa,https://www.8a.nu/user/sol-sa,8c,0,20.5
Ema Galeova,https://www.8a.nu/user/ema-galeova,8b,0,18.44
Analise Van Hoang,https://www.8a.nu/user/analise-van-hoang,8a,0,18.33
Yali Wei,https://www.8a.nu/user/lei-wei,7b,0,11.78
Aleksandra Totkova,https://www.8a.nu/user/aleksandra-b,6c,0,7.93
Margarita Agambayeva,https://www.8a.nu/user/marga-rita,8a,0,16.58
Tegwen Oates,https://www.8a.nu/user/tegwen-oates,7a,0,12.67
Svana Bjarnason,https://www.8a.nu/user/svana-bjarnason-b606c,7c,0,14.4
Iziar Martínez Almendros,https://www.8a.nu/user/iziar-martinez,9a,1,21.08
Pernille Tvedt,https://www.8a.nu/user/pernille-s-1bc25,5b+,0,4.0
Lynn Van Der Meer,https://www.8a.nu/user/lynn-van-der-meer,8c,0,19.73
Sunniva Eik Haave,https://www.8a.nu/user/sunniva-haave,7c+,0,14.12
Marketa Janosova,https://www.8a.nu/user/marketa-janosova,8c,0,19.78
Katharina Bergmann,https://www.8a.nu/user/katharina-s,7a+,0,10.7
Alejandra Contreras,https://www.8a.nu/user/alejandra-contreras,7a+,0,11.5
Mattea Pötzi,https://www.8a.nu/user/mattea-poetzi,8c+,1,20.72
Camille Pouget,https://www.8a.nu/user/camille-pouget,8c,0,20.8
Julia Fiser,https://www.8a.nu/user/julia-fiser,8c,0,19.92
Lana Skusek,https://www.8a.nu/user/lana-skusek,8c,0,20.57
Eva Maria Hammelmüller,https://www.8a.nu/user/eva-maria,6a+,0,5.55
Martina Demmel,https://www.8a.nu/user/martina-demmel,9a,16,21.79
Melina Costanza,https://www.8a.nu/user/melina-costanza-7pvyo,8a,0,19.0
Claudia Ghisolfi,https://www.8a.nu/user/claudia-ghisolfi,9a,3,21.8
Noé Looser,https://www.8a.nu/user/noe-looser,8c,0,19.93
Tereza Siruckova,https://www.8a.nu/user/tereza-siruckova,8a+,0,17.56
Nika Potapova,https://www.8a.nu/user/nika-potapova,9a,1,21.47
Kintana Iltis,https://www.8a.nu/user/kintana-iltis,8b,0,18.14
Lucie Watillon,https://www.8a.nu/user/lucie-watillon,8b+,0,19.41
Olivia Ma,https://www.8a.nu/user/olivia-ma,8b+,0,18.65
Olivia Ogier,https://www.8a.nu/user/olivia-ogier-nu9vm,8c,0,19.83
María Fernanda González Rámirez,https://www.8a.nu/user/fernanda-gonzalez,8a+,0,17.25
Quinn Mason,https://www.8a.nu/user/quinn-mason,8b+,0,18.5
Danai Valsamidi,https://www.8a.nu/user/danai-valsamidi,7c+,0,15.43
